latitude,longitude
7.919282583,6.447447836
7.920406659,6.445995406
7.922158191,6.445558265
7.923867863,6.444936947
7.925002765,6.443456619
7.925669285,6.441474417
7.927147047,6.440377709
7.929758009,6.437884808
7.930513465,6.437024377
7.930532984,6.435186288
7.930580599,6.433382732
7.930598621,6.431578316
7.930820081,6.431034121
7.931603688,6.430514382
7.932467207,6.430335954
7.934185676,6.429767264
7.935417276,6.428291013
7.93650839,6.427316427
7.937965814,6.42646877
7.939720449,6.425673584
7.940593556,6.424268657
7.94180803,6.422618855
7.941456847,6.420957976
7.940902194,6.42004208
7.937920859,6.417199615
7.93482666,6.41510728
7.932481017,6.414417378
7.929732728,6.413933271
7.927977799,6.413526124
7.926468059,6.41317585
7.925826675,6.41229008
7.925944233,6.411628098
7.925826915,6.409352936
7.925807835,6.407280454
7.925805883,6.406697666
7.925767209,6.405018492
7.925906132,6.402941085
7.92613075,6.400920544
7.926612704,6.399149787
7.927483296,6.397322999
7.928191091,6.395334099
7.929082031,6.39318865
7.929351457,6.392617435
7.929748263,6.391828844
7.931055943,6.390197613
7.932678282,6.38881812
7.934028996,6.387308017
7.935178011,6.385058312
7.935818723,6.38281226
7.936441671,6.380646378
7.937078773,6.378004202
7.937181521,6.375567896
7.936672456,6.373370969
7.935876473,6.371188067
7.935513372,6.367517261
7.936127712,6.366404164
7.938779732,6.364349673
7.93918617,6.363062994
7.940157398,6.361539774
7.941152791,6.359924016
7.940654934,6.358181415
7.94015708,6.356438822
7.939776133,6.355105469
7.94062933,6.353658731
7.94154167,6.352104149
7.942515628,6.350492607
7.94321973,6.348919499
7.944118831,6.347262473
7.944567904,6.346352568
7.945851559,6.34507658
7.947139656,6.343805105
7.948432705,6.342510814
7.948677002,6.340711775
7.948933191,6.338894261
7.949175076,6.337116176
7.949396087,6.335311034
7.949651748,6.33347159
7.949896529,6.331642005
7.950143027,6.329813769
7.95041509,6.328013647
7.951239439,6.322638679
7.951892701,6.319072931
7.95228849,6.317304208
7.952740011,6.315548971
7.95319674,6.313795082
7.953653879,6.312041324
7.954568074,6.308533764
7.955482225,6.305026193
7.957110709,6.29877785
7.957599724,6.295150073
7.958490868,6.289599188
7.958746331,6.287777297
7.959028245,6.284477384
7.959450578,6.275605182
7.958739711,6.273923225
7.958239917,6.27217308
7.957745113,6.270427076
7.957600009,6.268630274
7.957692537,6.266819935
7.957768605,6.265008619
7.958006298,6.263441764
7.958227279,6.261643719
7.958417137,6.259840896
7.958601292,6.258037568
7.958767768,6.25624034
7.958949595,6.254429235
7.959138981,6.252628323
7.959416246,6.250836795
7.95929344,6.249008965
7.959470497,6.247205012
7.959649151,6.245399417
7.960001843,6.244711318
7.960824018,6.243097391
7.961647056,6.241483699
7.962468768,6.239871407
7.963444124,6.238159303
7.964326831,6.236577682
7.965210057,6.234995985
7.966087572,6.233411772
7.966965709,6.231813772
7.966612215,6.230200215
7.966121188,6.228477377
7.966675538,6.227145119
7.967365827,6.225469888
7.968054283,6.223794152
7.968741937,6.222117449
7.969241308,6.220378601
7.969616696,6.218596127
7.969991757,6.216823181
7.970476062,6.215078267
7.970971196,6.213332552
7.971471727,6.211557706
7.971213605,6.210365888
7.970833139,6.208597016
7.970443001,6.206828488
7.970039669,6.205060419
7.969615555,6.20329313
7.969831551,6.202151037
7.970165198,6.200369539
7.97049178,6.19858682
7.970765894,6.196795848
7.971158886,6.195029353
7.971489167,6.193249779
7.971830819,6.191469403
7.972182687,6.189691405
